display  D   display_settings.c:212  debug_display_settings           [   0.01593] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01594] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.01595] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.01596] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.01597] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.01622] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.01626] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.04613] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.05893] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.05902] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.05908] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.05911] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.05917] Returning d3d_display: 00F7D0B0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.05919] al_display=00F7D0B0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.05920] al_display->vt=00F7CFF8
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.05968] PathFindOnPath found: C:\WINDOWS\system32\d3dx9_43.dll
system   D            wsystem.c:682  load_library_at_path             [   0.05970] Calling LoadLibrary C:\WINDOWS\system32\d3dx9_43.dll
system   I            wsystem.c:685  load_library_at_path             [   0.06033] Loaded C:\WINDOWS\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.06035] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   0.06044] added dtor for bitmap 027290A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06115] added dtor for bitmap 02742CE8, func 61CC1C7B
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06305] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06307] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06312] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06313] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06314] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06315] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06318] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06320] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.06322] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.06323] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.06323] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.06324] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.06325] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.06352] added dtor for bitmap 0275CAB8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06413] added dtor for sub_bitmap 027901F8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06415] added dtor for sub_bitmap 02790348, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06416] added dtor for sub_bitmap 02790498, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06417] added dtor for sub_bitmap 027905E8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06418] added dtor for sub_bitmap 02790738, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06419] added dtor for sub_bitmap 02790888, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06420] added dtor for sub_bitmap 027909D8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06421] added dtor for sub_bitmap 02791330, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06422] added dtor for sub_bitmap 02791480, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06423] added dtor for sub_bitmap 027915D0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06424] added dtor for sub_bitmap 02791720, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06425] added dtor for sub_bitmap 02791870, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06426] added dtor for sub_bitmap 027919C0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06427] added dtor for sub_bitmap 02791B10, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06429] added dtor for sub_bitmap 02791F38, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06430] added dtor for sub_bitmap 02792090, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06431] added dtor for sub_bitmap 027929F8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06431] added dtor for sub_bitmap 02792748, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06433] added dtor for sub_bitmap 02792498, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06433] added dtor for sub_bitmap 027921E8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06434] added dtor for sub_bitmap 02792340, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06435] added dtor for sub_bitmap 02791C88, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06440] added dtor for sub_bitmap 027925F0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06442] added dtor for sub_bitmap 027928A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06443] added dtor for sub_bitmap 02791DE0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06445] added dtor for sub_bitmap 02793F60, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06446] added dtor for sub_bitmap 027948C8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06447] added dtor for sub_bitmap 02793750, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06448] added dtor for sub_bitmap 02793A00, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06449] added dtor for sub_bitmap 02794A20, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06450] added dtor for sub_bitmap 02793B58, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06450] added dtor for sub_bitmap 02794770, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06452] added dtor for sub_bitmap 027940B8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06453] added dtor for sub_bitmap 02793348, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06454] added dtor for sub_bitmap 02794E28, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06455] added dtor for sub_bitmap 027935F8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06456] added dtor for sub_bitmap 02793098, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06457] added dtor for sub_bitmap 02794618, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06458] added dtor for sub_bitmap 027934A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06459] added dtor for sub_bitmap 02794CD0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06460] added dtor for sub_bitmap 02794210, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06461] added dtor for sub_bitmap 027944C0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06462] added dtor for sub_bitmap 02794B78, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06463] added dtor for sub_bitmap 02794368, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06464] added dtor for sub_bitmap 027931F0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06465] added dtor for sub_bitmap 027938A8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06465] added dtor for sub_bitmap 02793CB0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06466] added dtor for sub_bitmap 02793E08, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06468] added dtor for sub_bitmap 02796620, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06469] added dtor for sub_bitmap 027960C0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06470] added dtor for sub_bitmap 02795350, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06471] added dtor for sub_bitmap 027954A8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06472] added dtor for sub_bitmap 02796778, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06474] added dtor for sub_bitmap 02795B60, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06475] added dtor for sub_bitmap 02796A28, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06476] added dtor for sub_bitmap 027950A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06477] added dtor for sub_bitmap 027951F8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06478] added dtor for sub_bitmap 02796B80, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06479] added dtor for sub_bitmap 02795600, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06480] added dtor for sub_bitmap 02796218, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06481] added dtor for sub_bitmap 02795758, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06482] added dtor for sub_bitmap 027958B0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06483] added dtor for sub_bitmap 02795CB8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06484] added dtor for sub_bitmap 02796CD8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06486] added dtor for sub_bitmap 02795F68, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06487] added dtor for sub_bitmap 02796370, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06488] added dtor for sub_bitmap 02795A08, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06489] added dtor for sub_bitmap 02796E30, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06490] added dtor for sub_bitmap 02795E10, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06491] added dtor for sub_bitmap 027964C8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06492] added dtor for sub_bitmap 027968D0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06494] added dtor for sub_bitmap 02798778, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06495] added dtor for sub_bitmap 027980C0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06496] added dtor for sub_bitmap 02799798, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06497] added dtor for sub_bitmap 02797E10, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06498] added dtor for sub_bitmap 02798F88, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06499] added dtor for sub_bitmap 02799640, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06500] added dtor for sub_bitmap 02799A48, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06501] added dtor for sub_bitmap 027988D0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06502] added dtor for sub_bitmap 02798A28, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06503] added dtor for sub_bitmap 02798B80, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06504] added dtor for sub_bitmap 02797F68, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   0.06505] added dtor for sub_bitmap 02798CD8, func 61CC1C7B
